model,threshold,iou,dice,precision,recall,macro_iou,macro_dice,summary
C_resnet34_384_resize,0.4,0.7937574803520998,0.8850220713184613,0.8575650833487269,0.914295415959253,0.7686558199099276,0.8645389648776406,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.40\summary.json
C_resnet34_384_resize,0.45,0.796635848493886,0.8868083637112143,0.8674946088492816,0.9070016977928693,0.77011472432698,0.8651408548955464,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.45\summary.json
C_resnet34_384_resize,0.5,0.7979903983016091,0.8876470075206129,0.8770150599215187,0.8985398981324279,0.7695787822343064,0.864150784376508,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.50\summary.json
C_resnet34_384_resize,0.55,0.7975964116815367,0.8874032085271423,0.8860094506952625,0.8888013582342954,0.7675050736864191,0.8620993802651119,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.55\summary.json
C_resnet34_384_resize,0.6,0.7966898997611014,0.8868418527504763,0.8951118613113439,0.878723259762309,0.7656441980151385,0.8602936622869841,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.60\summary.json
C_resnet34_384_resize,0.65,0.7943405729066275,0.8853843968092258,0.9039212634081454,0.8675925297113752,0.7625373811815006,0.857718659595359,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.65\summary.json
D_resnet18_384_letterbox,0.35,0.7880061424068536,0.8814356099986439,0.8401447634053868,0.9269949066213922,0.7689183282447238,0.8643388656325587,outputs\matrix_runs_20260516\threshold_sweep\D_resnet18_384_letterbox_t0.35\summary.json
D_resnet18_384_letterbox,0.4,0.7922608472040397,0.8840910054359346,0.8503635211682862,0.9206044142614601,0.7723682260452126,0.866562231543277,outputs\matrix_runs_20260516\threshold_sweep\D_resnet18_384_letterbox_t0.40\summary.json
D_resnet18_384_letterbox,0.45,0.7953754424530365,0.8860268706430654,0.8596400470059269,0.9140848896434635,0.7747475949644256,0.8680909730420878,outputs\matrix_runs_20260516\threshold_sweep\D_resnet18_384_letterbox_t0.45\summary.json
D_resnet18_384_letterbox,0.5,0.7975290220537766,0.8873614971095771,0.8681432200471683,0.9074499151103566,0.7763289199084561,0.8690616745240058,outputs\matrix_runs_20260516\threshold_sweep\D_resnet18_384_letterbox_t0.50\summary.json
D_resnet18_384_letterbox,0.55,0.7990062471357244,0.8882751223436348,0.8769872261565954,0.8998573853989813,0.7771050884308975,0.8695488502199753,outputs\matrix_runs_20260516\threshold_sweep\D_resnet18_384_letterbox_t0.55\summary.json
D_resnet18_384_letterbox,0.6,0.7999622374896458,0.8888655782082734,0.8857932894958691,0.8919592529711375,0.777501301479636,0.8697748752324348,outputs\matrix_runs_20260516\threshold_sweep\D_resnet18_384_letterbox_t0.60\summary.json
